PointID,Dist_to_Forest_ft,Can_ht_change
1,801.3474826,-0.001149425
2,1040.913371,0
4,856.3555476,-0.002285714
5,2297.319658,-0.001176471
6,666.6314257,0.005740528
8,100.8098865,-0.928980529
9,7.489648693,1.074626923
10,592.202038,-0.051428571
11,326.8368323,-0.145977005
13,183.7596375,-0.145475373
15,282.1689553,-0.305491984
16,103.5617287,0.053775743
19,137.8191125,0.538461566
25,203.3747825,-0.003444317
28,268.1544773,-0.28342858
29,166.4036513,0.155606404
33,133.4516535,0.571627259
34,248.5934741,0
35,2186.692761,0
36,873.7051968,0
37,439.0493619,-0.125858128
38,599.7568822,-0.289655179
39,119.0701676,-0.062337663
40,293.31046,-0.070034444
42,651.1054332,-0.440736473
45,126.928238,-0.805555582
46,1146.548322,-0.051236749
47,555.0152791,-0.328476816
48,599.6824992,-0.082630694
56,223.3654338,-0.331807792
57,693.555035,0.004587156
58,369.5563179,-0.006872852
59,291.4424889,-0.138089761
60,509.4782138,-0.008045977
61,464.27818,-0.120551094
62,43.23627691,-0.199541286
63,141.2146376,-0.347876012
65,470.3726286,-0.637299776
66,863.376906,-0.130434781
69,77.80544968,0.107921928
70,820.1830437,0
71,203.6589122,0.135011435
72,672.2169061,0
73,1405.337986,0.006896552
74,713.9614372,0.002301496
75,27.67456061,0.144661307
76,288.1660868,0.06666667
77,372.1319181,0.042334095
78,2180.937056,0
79,598.4793254,-0.021814007
80,376.6338853,-0.344748855
81,843.6218803,-0.004597701
82,58.73495116,-0.122146122
83,362.0351977,-0.009163803
84,1812.251917,0
85,1330.317899,0.002998501
86,270.4770731,-0.323765785
87,621.8202388,0.002290951
89,260.3183324,0.167375892
91,848.9814315,-0.001356852
92,883.903353,-0.001149425
93,416.5118537,-0.035532996
99,276.4585786,0.208237991
100,579.9930526,0.085910656
98,449.6392137,0.047126438
101,735.1707046,-0.014959724
107,270.0464617,0.194092825
109,1788.744467,0.012870013
108,846.2351033,0
111,2372.82919,0
112,1445.221411,-0.001237624
113,458.0844595,-0.006872852
114,1174.65161,0.034979425
115,632.8009219,-0.004511278
117,1937.297751,0
118,599.0557086,-0.004415011
119,893.8946409,-0.01039501
120,952.3724564,-0.002087683
121,206.0170626,0.25757575
122,93.57799573,0.241847828
123,395.8387267,-0.079999998
124,1674.123062,-0.056951422
125,342.0778576,0.008045977
130,354.4846544,-0.17640321
131,603.3300663,0.011560693
132,1256.347294,0.002288329
133,665.1290785,0
12,0,-0.030892448
14,0,-0.032000002
67,977.558061,-0.040183697
68,1843.286688,0.401298702
30,397.3009542,-0.288990825
