,SESP,,CLRA,,LEBI,,VIRA,,,
Intercept,-12.95,,1.66,,-1.06,,-0.04995382,,,
,38.68,,0.35,,0.29,,0.255602158,,,
,-90.31,64.4,0.96,2.36,-1.63,-0.48,-0.561158137,0.461250497,,
Dist. to forest,0.66,,NA,,NA,,NA,,,
,0.27,,NA,,NA,,NA,,,
,0.12,1.2,NA,NA,NA,NA,NA,NA,,
Juncus,1.05,,1.18,,NA,,1.035085743,,,
,0.27,,0.25,,NA,,0.281593005,,,
,0.51,1.59,0.68,1.68,NA,NA,0.471899732,1.598271754,,
Year,12.31,,-1.83,,-1.09,,-0.36790939,,,
,38.68,,0.48,,0.49,,0.407977684,,,
,-65.05,89.67,-2.79,-0.87,-2.08,-0.11,-1.183864759,0.448045979,,
Herb density,NA,,-0.66,,NA,,-0.896431719,,,
,NA,,0.24,,NA,,0.263895917,,,
,NA,NA,-1.15,-0.17,NA,NA,-1.424223552,-0.368639885,,
Woody height,NA,,NA,,-0.53,,-0.392758867,,,
,NA,,NA,,0.29,,0.223706697,,,
,NA,NA,NA,NA,-1.12,0.05,-0.840172262,0.054654528,,
Num. fires,NA,,0.73,,NA,,NA,,,
,NA,,0.24,,NA,,NA,,,
,NA,NA,0.24,1.21,NA,NA,NA,NA,,
Cladium,NA,,NA,,NA,,0.73025581,,,
,NA,,NA,,NA,,0.269306185,,,
,NA,NA,NA,NA,NA,NA,0.191643439,1.268868181,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,SESP,,CLRA,,LEBI,,VIRA,,,
Intercept,-12.95,,1.66,,-1.06,,-0.2,,-0.05,
,-90.31,64.4,0.96,2.36,-1.63,-0.48,-0.58,0.18,-0.56,0.46
Dist. to forest,0.66,,NA,,NA,,NA,,NA,
,0.12,1.2,NA,NA,NA,NA,NA,NA,NA,NA
Juncus,1.05,,1.18,,NA,,1.04,,1.04,
,0.51,1.59,0.68,1.68,NA,NA,0.46,1.62,0.47,1.60
Year,12.31,,-1.83,,-1.09,,NA,,-0.37,
,-65.05,89.67,-2.79,-0.87,-2.08,-0.11,NA,NA,-1.18,0.45
Herb density,NA,,-0.66,,NA,,-0.84,,-0.90,
,NA,NA,-1.15,-0.17,NA,NA,-1.35,-0.33,-1.42,-0.37
Woody height,NA,,NA,,-0.53,,-0.34,,-0.39,
,NA,NA,NA,NA,-1.12,0.05,-0.78,0.09,-0.84,0.05
Num. fires,NA,,0.73,,NA,,NA,,NA,
,NA,NA,0.24,1.21,NA,NA,NA,NA,NA,NA
Cladium,NA,,NA,,NA,,0.7,,0.73,
,NA,NA,NA,NA,NA,NA,0.16,1.24,0.19,1.27
