"","SITE","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1","1",1081,1141,1201,1261,1321,1381,1,61,121,361,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","107",1066,1126,1186,1246,1306,1366,1426,46,106,166,226,286,346,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","109",1066,1126,1186,1246,1306,1366,1426,46,106,166,226,286,346,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","113",1089,1149,1209,1269,1329,1389,9,69,129,189,249,309,369,1090,1150,1210,1270,1330,1390,10,70,130,190,250,370,372,372,373,374,374,375,375,376,377,377,NA,NA,NA,NA,NA
"5","115",1076,1136,1196,1256,1316,1376,1436,56,116,176,236,296,356,416,1077,1137,1197,1257,1317,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","117",1076,1136,1196,1256,1316,1376,1436,56,116,176,236,296,356,416,1077,1137,1197,1257,1317,1377,1437,57,117,177,237,297,357,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","119",1100,1160,1220,1280,1340,1400,20,80,140,200,260,320,380,1101,1161,1221,1281,1341,1401,81,141,201,381,382,382,383,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","12",1071,1131,1191,1251,1311,1371,1431,51,111,171,231,291,351,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","120",1100,1160,1220,1280,1340,1400,20,80,140,200,260,320,380,1101,1161,1221,1281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","130",1048,1049,1084,1144,1204,1264,1324,1384,4,64,124,184,244,304,364,1085,1145,1205,1265,1325,1385,5,65,125,185,245,305,365,1085,1145,1205,1265,1325,366,367,NA,NA,NA,NA,NA
"11","131",1052,1112,1172,1232,1292,1352,1412,32,92,152,212,272,332,392,452,1053,1113,1173,1233,1293,1353,1413,33,93,153,213,273,333,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","25",1059,1119,1179,1239,1299,1359,1419,39,99,159,219,279,339,399,1060,1120,1180,1240,1300,1360,1420,40,100,401,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","28",1055,1115,1175,1235,1295,1355,1415,35,95,155,215,275,335,395,1056,1116,1176,1236,1296,1356,1416,36,96,156,216,276,336,396,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","30",1059,1119,1179,1239,1299,1359,1419,39,99,159,219,279,339,399,1060,1120,1180,1240,1300,1360,1420,40,100,160,220,280,340,400,1061,1121,1181,1241,1301,1361,1421,41,101,161,221,401
"15","34",444,1055,1115,1175,1235,1295,1355,1415,35,95,155,215,275,335,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","35",452,452,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","36",1055,1115,1175,1235,1295,1355,1415,35,95,155,215,275,335,395,397,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","5",1081,1141,1201,1261,1321,1381,1,61,121,181,241,301,361,1082,1142,1202,1262,1322,1382,2,62,122,182,242,302,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","66",1061,1121,1181,1241,1301,1361,1421,41,101,161,221,401,403,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","67",1061,403,403,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","89",1067,409,409,410,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","9",412,1072,1132,1192,1252,1312,1372,1432,52,112,172,232,292,352,412,1072,1132,1192,1252,1312,1372,1432,52,112,172,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","91",1067,1127,1187,1247,1307,1367,1427,47,107,167,407,409,410,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
