"","model","formula","p(date)","SEp(date)","p(I(date^2))","SEp(I(date^2))","p(I(time^2))","SEp(I(time^2))","p(typeARU)","SEp(typeARU)","p(Int)","SEp(Int)","p(time)","SEp(time)","p(typepassive)","SEp(typepassive)","psi(Int)","SEpsi(Int)","psi(year2017)","SEpsi(year2017)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","blra.covs.ip4","~type + time + date + I(date^2) ~ year",-12.4568879251605,19.1764877382539,-30.6746087256573,44.9769257748024,NA,NA,NA,NA,3.97816106731626,7.22538762644661,45.5044690374401,70.0819960196921,-25.1463666334424,36.5358338185517,-2.96568689636741,0.732575047301296,-0.188603179494773,1.02708981135006,1,38576.5806332346,16.3553739830759,7,182,46.7107479661517,0,0.476243294849738,NA,0.476243294849738
"2","blra.covs.ip3","~type + time + date ~ year",14.235600819992,14.2536668228244,NA,NA,NA,NA,NA,NA,-5.7701708849484,12.6853129652501,51.6415695922857,68.5691638176337,-37.3013225465559,51.7162668143261,-3.38338952703892,0.754834859112289,0.020826882293045,1.02838354914894,1,36001.4584141603,17.703257816075,6,182,47.4065156321501,0.695767665998368,0.33631392160849,NA,0.812557216458227
"3","blra.covs.ip5","~type + time + I(time^2) + date + I(date^2) ~ year",-16.920824201071,51.5639672256758,-52.1399582049078,200.2678679718,18.9500607038257,151.388857502115,NA,NA,5.46658159593407,15.7373021049381,58.5650191276296,157.297049622275,-37.1873188020608,404.945891699946,-2.95839173435253,0.730844104715808,-0.212675440976515,1.03592818425511,1,834220.577923114,16.3252360348529,8,182,48.6504720697058,1.93972410355409,0.180560661392456,NA,0.993117877850684
"4","blra.covs.ip2","~type + time ~ year",NA,NA,NA,NA,NA,NA,NA,NA,-0.755127462054275,0.937657166867239,2.8238949214786,1.7726419977893,-17.8913753488384,1392.07308968699,-3.25212989897445,0.761505692765635,-0.18917681483651,1.0250190533748,0,10184347.6824839,22.8179844213042,5,182,55.6359688426083,8.92522087645661,0.00549214236081242,NA,0.998610020211496
"5","blra.covs.ip1","~type ~ year",NA,NA,NA,NA,NA,NA,NA,NA,-0.104852679353193,0.847571620326582,NA,NA,-13.5811330279137,263.093829002521,-3.56351876685523,0.762291639043664,0.0921938095837305,1.01915415269545,0,386216.983717706,25.1920136239697,4,182,58.3840272479395,11.6732792817878,0.00138997978850395,NA,1
"51","blra.covs.all5","~type + time + I(time^2) + date + I(date^2) ~ year",-0.753718650702798,0.293216545464696,0.367302178095741,0.269945100495433,0.53573748982131,0.241351902523158,-0.642545020469656,0.846075995787193,-3.48990959868337,0.692344392199473,-0.504504964065984,0.315631026670388,-11.7809104325301,140.554521626541,-1.49017400195164,1.09117154034689,0.923233866871831,1.07090009784401,0,5130072.92556205,88.1155692939033,9,182,194.231138587807,0,0.592842380515897,NA,0.592842380515897
"31","blra.covs.all3","~type + time + date ~ year",-0.780782780769424,0.322717132727942,NA,NA,NA,NA,0.270384374974747,0.665163198217977,-2.95328676964645,0.618117742270533,0.104964712700192,0.176104231244686,-10.2812288247204,66.9166228470989,-1.40332183108711,1.10634239229265,0.825714562306827,1.08576509143215,0,233536.037868523,91.169313921143,7,182,196.338627842286,2.10748925447942,0.206682528304227,NA,0.799524908820124
"41","blra.covs.all4","~type + time + date + I(date^2) ~ year",-0.694719443347251,0.292280659251024,0.272491937658153,0.261662946416848,NA,NA,0.345799748208938,0.672034689883989,-3.18168354994882,0.664312066876401,0.106526953625141,0.178171227962132,-11.6307032239549,130.980747692779,-1.40058004551851,1.11003783990329,0.806576712296945,1.08850570555711,0,1046879.36684267,90.6589645846424,8,182,197.317929169285,3.08679058147808,0.126663412481368,NA,0.926188321301493
"11","blra.covs.all1","~type ~ year",NA,NA,NA,NA,NA,NA,0.449177638736949,0.630106892115392,-2.89456810370984,0.601802109398125,NA,NA,-9.88548979707254,55.6924237293655,-1.58416265035687,1.06786031957882,1.11383386498914,1.04736707117355,0,90251.021596043,94.5864923776233,5,182,199.172984755247,4.94184616743993,0.0500992220389113,NA,0.976287543340404
"21","blra.covs.all2","~type + time ~ year",NA,NA,NA,NA,NA,NA,0.337192865131537,0.655062177592419,-2.87226708716692,0.602768777693133,0.121515786545964,0.172468423244095,-10.2245198836502,66.0128747457191,-1.56174183003697,1.07340048203689,1.09858102983854,1.05184411563031,0,222098.249070121,94.3344973499137,6,182,200.668994699827,6.43785611202068,0.0237124566595961,NA,1
