"","1","2","3","4","5","51","31","41","11","21"
"model","blra.covs.ip4","blra.covs.ip3","blra.covs.ip5","blra.covs.ip2","blra.covs.ip1","blra.covs.all5","blra.covs.all3","blra.covs.all4","blra.covs.all1","blra.covs.all2"
"formula","~type + time + date + I(date^2) ~ year","~type + time + date ~ year","~type + time + I(time^2) + date + I(date^2) ~ year","~type + time ~ year","~type ~ year","~type + time + I(time^2) + date + I(date^2) ~ year","~type + time + date ~ year","~type + time + date + I(date^2) ~ year","~type ~ year","~type + time ~ year"
"p(date)","-12.4568879"," 14.2356008","-16.9208242",NA,NA," -0.7537187"," -0.7807828"," -0.6947194",NA,NA
"SEp(date)","19.1764877","14.2536668","51.5639672",NA,NA," 0.2932165"," 0.3227171"," 0.2922807",NA,NA
"p(I(date^2))","-30.6746087",NA,"-52.1399582",NA,NA,"  0.3673022",NA,"  0.2724919",NA,NA
"SEp(I(date^2))"," 44.9769258",NA,"200.2678680",NA,NA,"  0.2699451",NA,"  0.2616629",NA,NA
"p(I(time^2))",NA,NA,"18.9500607",NA,NA," 0.5357375",NA,NA,NA,NA
"SEp(I(time^2))",NA,NA,"151.3888575",NA,NA,"  0.2413519",NA,NA,NA,NA
"p(typeARU)",NA,NA,NA,NA,NA,"-0.6425450"," 0.2703844"," 0.3457997"," 0.4491776"," 0.3371929"
"SEp(typeARU)",NA,NA,NA,NA,NA,"0.8460760","0.6651632","0.6720347","0.6301069","0.6550622"
"p(Int)"," 3.9781611","-5.7701709"," 5.4665816","-0.7551275","-0.1048527","-3.4899096","-2.9532868","-3.1816835","-2.8945681","-2.8722671"
"SEp(Int)"," 7.2253876","12.6853130","15.7373021"," 0.9376572"," 0.8475716"," 0.6923444"," 0.6181177"," 0.6643121"," 0.6018021"," 0.6027688"
"p(time)","45.5044690","51.6415696","58.5650191"," 2.8238949",NA,"-0.5045050"," 0.1049647"," 0.1065270",NA," 0.1215158"
"SEp(time)"," 70.0819960"," 68.5691638","157.2970496","  1.7726420",NA,"  0.3156310","  0.1761042","  0.1781712",NA,"  0.1724684"
"p(typepassive)","-25.14637","-37.30132","-37.18732","-17.89138","-13.58113","-11.78091","-10.28123","-11.63070"," -9.88549","-10.22452"
"SEp(typepassive)","  36.53583","  51.71627"," 404.94589","1392.07309"," 263.09383"," 140.55452","  66.91662"," 130.98075","  55.69242","  66.01287"
"psi(Int)","-2.965687","-3.383390","-2.958392","-3.252130","-3.563519","-1.490174","-1.403322","-1.400580","-1.584163","-1.561742"
"SEpsi(Int)","0.7325750","0.7548349","0.7308441","0.7615057","0.7622916","1.0911715","1.1063424","1.1100378","1.0678603","1.0734005"
"psi(year2017)","-0.18860318"," 0.02082688","-0.21267544","-0.18917681"," 0.09219381"," 0.92323387"," 0.82571456"," 0.80657671"," 1.11383386"," 1.09858103"
"SEpsi(year2017)","1.027090","1.028384","1.035928","1.025019","1.019154","1.070900","1.085765","1.088506","1.047367","1.051844"
"Converge","1","1","1","0","0","0","0","0","0","0"
"CondNum","   38576.58","   36001.46","  834220.58","10184347.68","  386216.98"," 5130072.93","  233536.04"," 1046879.37","   90251.02","  222098.25"
"negLogLike","16.35537","17.70326","16.32524","22.81798","25.19201","88.11557","91.16931","90.65896","94.58649","94.33450"
"nPars","7","6","8","5","4","9","7","8","5","6"
"n","182","182","182","182","182","182","182","182","182","182"
"AIC"," 46.71075"," 47.40652"," 48.65047"," 55.63597"," 58.38403","194.23114","196.33863","197.31793","199.17298","200.66899"
"delta"," 0.0000000"," 0.6957677"," 1.9397241"," 8.9252209","11.6732793"," 0.0000000"," 2.1074893"," 3.0867906"," 4.9418462"," 6.4378561"
"AICwt","0.476243295","0.336313922","0.180560661","0.005492142","0.001389980","0.592842381","0.206682528","0.126663412","0.050099222","0.023712457"
"Rsq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cumltvWt","0.4762433","0.8125572","0.9931179","0.9986100","1.0000000","0.5928424","0.7995249","0.9261883","0.9762875","1.0000000"
